Index,Name,Level,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Move1,Move2,Move3,Move4
#001,Bulbasaur,50,135,84,85,100,100,81,Razor Leaf,Headbutt,Toxic,Growth
#002,Ivysaur,50,145,93,93,110,110,91,Solarbeam,Fury Cutter,Leech Seed,Sunny Day
#003,Venusaur,50,158,105,106,123,123,102,Giga Drain,Tackle,Poisonpowder,Growl
#004,Charmander,50,129,87,79,95,85,101,Flamethrower,Slash,Dragonbreath,Sunny Day
#005,Charmeleon,50,143,95,88,110,95,111,Fire Blast,Strength,Dig,Smokescreen
#006,Charizard,50,156,107,101,132,108,122,Fire Punch,Wing Attack,Growl,Scary Face
#007,Squirtle,50,134,83,101,85,99,79,Surf,Bite,Blizzard,Rain Dance
#008,Wartortle,50,144,94,110,95,110,89,Waterfall,Icy Wind,Dig,Rapid Spin
#009,Blastoise,50,127,106,123,108,128,100,Hydro Pump,Rapid Spin,Mud-slap,Withdraw
#010,Caterpie,50,139,69,74,61,61,85,Tackle,String Shot,,
#011,Metapod,50,144,59,94,66,66,70,Harden,,,
#012,Butterfree,50,147,78,82,112,112,102,Gust,Psychic,Hyper Beam,Stun Spore
#013,Weedle,50,134,74,69,61,61,90,Poison Sting,String Shot,,
#014,Kakuna,50,139,64,89,66,66,75,Harden,,,
#015,Beedrill,50,152,113,72,77,112,107,Twineedle,Sludge Bomb,Pursuit,Focus Energy
#016,Pidgey,50,132,82,78,72,72,93,Fly,Return,Steel Wing,Sand-attack
#017,Pidgeotto,50,153,95,91,85,85,107,Fly,Frustration,Steel Wing,Mirror Move
#018,Pidgeot,50,164,107,102,96,96,117,Fly,Swift,Steel Wing,Whirlwind
#019,Rattata,50,122,93,73,62,72,109,Super Fang,Headbutt,Shadow Ball,Focus Energy
#020,Raticate,50,140,112,90,80,100,128,Super Fang,Hyper Fang,Pursuit,Scary Face
#021,Spearow,50,132,97,68,68,68,107,Drill Peck,Frustration,Steel Wing,Mirror Move
