,type1,type2,avg_off_mult,avg_def_mult,avg_net,exists
0,Normal,,0.9655904842820731,1.060322854715378,-0.09473237043330496,True
1,Normal,Fighting,1.3576890399320305,1.3305012744265081,0.027187765505522377,True
2,Normal,Flying,1.2463891248937977,1.2633814783347495,-0.016992353440951735,True
3,Normal,Poison,1.1486830926083262,1.254035683942226,-0.10535259133389974,False
4,Normal,Ground,1.3449447748513168,1.3704333050127442,-0.02548853016142738,True
5,Normal,Rock,1.2982158028887,1.4468988954970263,-0.14868309260832624,False
6,Normal,Bug,1.2735768903993203,1.3135089209855566,-0.03993203058623629,False
7,Normal,Ghost,1.1775700934579438,1.2149532710280373,-0.03738317757009346,True
8,Normal,Steel,1.179269328802039,1.221750212404418,-0.042480883602378894,False
9,Normal,Fire,1.2977909940526764,1.3364485981308412,-0.038657604078164765,False
10,Normal,Water,1.2132540356839423,1.2548853016142736,-0.041631265930331285,True
11,Normal,Grass,1.2608326253186066,1.4231096006796942,-0.16227697536108754,True
12,Normal,Electric,1.2463891248937977,1.151231945624469,0.09515717926932865,False
13,Normal,Psychic,1.145284621920136,1.292268479184367,-0.14698385726423102,True
14,Normal,Ice,1.3381478334749364,1.2778249787595581,0.06032285471537824,False
15,Normal,Dragon,1.0671197960917587,1.2557349192863212,-0.18861512319456253,True
16,Normal,Dark,1.1775700934579438,1.207731520815633,-0.03016142735768912,False
17,Normal,Fairy,1.2081563296516566,1.215802888700085,-0.007646559048428259,True
18,Fighting,Normal,1.3576890399320305,1.3305012744265081,0.027187765505522377,False
19,Fighting,,1.2786745964316057,1.234069668649108,0.044604927782497805,True
20,Fighting,Flying,1.5938827527612573,1.4184367034834324,0.17544604927782492,True
21,Fighting,Poison,1.4983007646559048,1.3232795242141036,0.17502124044180123,True
22,Fighting,Ground,1.5458793542905693,1.5212404418011896,0.024638912489379772,False
23,Fighting,Rock,1.560747663551402,1.64910790144435,-0.088360237892948,False
24,Fighting,Bug,1.524214103653356,1.3925233644859814,0.13169073916737473,False
25,Fighting,Ghost,1.519966015293118,1.3768054375531011,0.1431605777400169,True
26,Fighting,Steel,1.4197111299915037,1.4409515717926933,-0.021240441801189558,True
27,Fighting,Fire,1.5378079864061172,1.488105352591334,0.04970263381478324,True
28,Fighting,Water,1.4936278674596433,1.4248088360237894,0.06881903143585388,True
29,Fighting,Grass,1.5076465590484283,1.502124044180119,0.005522514868309347,False
30,Fighting,Electric,1.5556499575191165,1.3330501274426507,0.22259983007646578,True
31,Fighting,Psychic,1.4808836023789296,1.4519966015293118,0.028887000849617817,True
32,Fighting,Ice,1.6219201359388276,1.4961767204757859,0.12574341546304169,True
33,Fighting,Dragon,1.4197111299915037,1.3661852166525064,0.053525913338997366,True
34,Fighting,Dark,1.5106202209005948,1.3865760407816483,0.12404418011894647,True
