,avg_phys_off,avg_spec_off,avg_off,avg_phys_def,avg_spec_off,avg_def
bulbasaur,0.3062358881037194,0.4842432533511635,0.5671759456722936,0.6521408319536425,0.6088061879139074,0.8586431084437086
ivysaur,0.3687208054307794,0.6313923328156944,0.7212666112861139,0.49397554763117685,0.47088019265502723,0.6564973834112909
venusaur,0.4681235734284207,0.7690866164191213,0.8884149350661005,0.36420265713240996,0.35003770365254144,0.4828168041279001
charmander,0.44769341402043883,0.48377152281026914,0.5759385289464798,0.8716832048637503,0.6282449245467372,1.0521944414287268
charmeleon,0.507023399854814,0.5706337628627328,0.6799527742109541,0.6160231083556436,0.4580123056690621,0.752815555868677
charizard,0.7215259575473586,0.6990550420442901,0.8552664771085355,0.43620303566286844,0.41396865616387646,0.6106077084447371
squirtle,0.4226629240257596,0.5246819323523507,0.6018030917233005,0.5128875215101424,0.6032892527506911,0.7549907701934608
wartortle,0.4883289556478095,0.6390741581117128,0.7220037264890354,0.3988989833037964,0.4557052513758044,0.5741144482790783
blastoise,0.6032023282365694,0.7996987664379096,0.9003814008590268,0.3071601667893059,0.3310553511568964,0.42617488349276433
caterpie,0.09455868319738421,-0.00704309489119075,0.09455868319738421,0.8219431912251658,1.0022242342715226,1.2166442466887413
metapod,0.07743093865280715,-0.00704309489119075,0.07743093865280715,0.5942187920131455,0.8736019518996166,1.0069651944430609
butterfree,0.30249465823182753,0.44502151413631114,0.4850338951035376,0.6914454684388458,0.5181771870513595,0.8398081785763903
weedle,0.1060752315844167,-0.00704309489119075,0.1060752315844167,0.9275532224196416,1.0951676088946314,1.3787534593226727
kakuna,0.08869687554717742,-0.00704309489119075,0.08869687554717742,0.6509528145695362,0.9533085678807949,1.130657905629139
beedrill,0.5623303813156137,0.1313591400833744,0.5846540945437617,0.6445592446751385,0.600360479684983,0.831563271881153
pidgey,0.48067495367832946,-0.00704309489119075,0.48067495367832946,0.7479844936197703,0.9381437570667093,1.1540015075647445
pidgeotto,0.5912609208551467,-0.00704309489119075,0.5912609208551467,0.5063928150231335,0.6389414859838517,0.7828850585140162
pidgeot,0.7728894229723093,-0.00704309489119075,0.7728894229723093,0.36396537141945257,0.4489504508098616,0.5510651879039338
rattata,0.6076005848509007,0.3295788377679884,0.6232582962983204,0.9158661431166852,0.8249718103498795,1.128712067045654
raticate,0.8111572161840171,0.498316171110807,0.8525375556077562,0.5230477013149054,0.4593903445628177,0.635498512333237
spearow,0.6227007327770795,-0.00704309489119075,0.6227007327770795,0.8868266838959782,1.0005428309912239,1.2735793894362792
fearow,0.9066111808742768,-0.00704309489119075,0.9066111808742768,0.44687488813316606,0.5543524252729553,0.6812419903347058
ekans,0.49230824201658685,0.1185116419926835,0.49945492906522465,0.8898924682904931,0.6498201818385902,1.0569470198675497
arbok,0.646347649147404,0.16816122461767882,0.6582686822678524,0.5419384059648963,0.39289093687769194,0.6392050201454176
pikachu,0.39690350565584226,0.490631507174501,0.5824905443769007,1.1134987091705006,0.49725827814569534,1.141700527556403
raichu,0.5429489212144017,0.7497428394949203,0.8641469843460379,0.6295629139072847,0.27318519890705323,0.6415020608530542
sandshrew,0.7119646283997807,-0.00704309489119075,0.7119646283997807,0.4091084001394216,0.9601550565154602,1.053906189314345
sandslash,0.916052733030702,-0.00704309489119075,0.916052733030702,0.29843373291977554,0.5675362561824127,0.6377389554866296
nidoran_f,0.30699294098339364,0.38997296420521627,0.4313390544941967,0.6790889720702562,0.5556433438909687,0.8427614934254732
nidorina,0.4007962538473518,0.49881288906622967,0.5482518021740752,0.5166492663290484,0.41072362896593495,0.632167164437519
nidoqueen,0.8019154581832594,0.7159590421032279,0.9847089334746955,0.3837652643264555,0.40364774336791337,0.5493251923592235
nidoran_m,0.3831819397262076,0.39573240977761526,0.46875969971417997,0.8618567688279685,0.5944091585810363,1.0036087068124642
